title,genre,izlenme_sayisi
Jurassic Park (1993),Adventure,59715
Star Wars: Episode IV - A New Hope (1977),Adventure,54502
Toy Story (1995),Adventure,49695
Apollo 13 (1995),Adventure,47777
Independence Day (a.k.a. ID4) (1996),Adventure,47048
Star Wars: Episode VI - Return of the Jedi (1983),Adventure,46839
Star Wars: Episode V - The Empire Strikes Back (1980),Adventure,45313
Dances with Wolves (1990),Adventure,44208
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Adventure,43295
True Lies (1994),Adventure,43159
Aladdin (1992),Adventure,41842
Back to the Future (1985),Adventure,41426
"Lion King, The (1994)",Adventure,38991
"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure,37553
Mission: Impossible (1996),Adventure,37127
"Lord of the Rings: The Two Towers, The (2002)",Adventure,33947
Monty Python and the Holy Grail (1975),Adventure,33024
Gladiator (2000),Adventure,32878
Batman Forever (1995),Adventure,32867
"Princess Bride, The (1987)",Adventure,32586
Twister (1996),Adventure,32446
Dumb & Dumber (Dumb and Dumber) (1994),Adventure,32085
Shrek (2001),Adventure,31972
Stargate (1994),Adventure,31799
"Lord of the Rings: The Return of the King, The (2003)",Adventure,31577
"Rock, The (1996)",Adventure,31353
Indiana Jones and the Last Crusade (1989),Adventure,31280
Star Wars: Episode I - The Phantom Menace (1999),Adventure,29574
GoldenEye (1995),Adventure,29005
Waterworld (1995),Adventure,27775
"Fifth Element, The (1997)",Adventure,27660
Aliens (1986),Adventure,27206
X-Men (2000),Adventure,26846
Star Trek: Generations (1994),Adventure,26404
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Adventure,25257
2001: A Space Odyssey (1968),Adventure,25253
Cliffhanger (1993),Adventure,24940
Austin Powers: The Spy Who Shagged Me (1999),Adventure,24651
"Monsters, Inc. (2001)",Adventure,23657
Finding Nemo (2003),Adventure,23569
"Wizard of Oz, The (1939)",Adventure,23445
Spider-Man (2002),Adventure,23404
Toy Story 2 (1999),Adventure,22770
Jumanji (1995),Adventure,22243
Broken Arrow (1996),Adventure,22104
Austin Powers: International Man of Mystery (1997),Adventure,22074
Who Framed Roger Rabbit? (1988),Adventure,21739
"Hunt for Red October, The (1990)",Adventure,21349
Indiana Jones and the Temple of Doom (1984),Adventure,21266
Stand by Me (1986),Adventure,20804
Toy Story (1995),Animation,49695
Aladdin (1992),Animation,41842
"Lion King, The (1994)",Animation,38991
Beauty and the Beast (1991),Animation,35138
Shrek (2001),Animation,31972
"Monsters, Inc. (2001)",Animation,23657
Finding Nemo (2003),Animation,23569
Toy Story 2 (1999),Animation,22770
Who Framed Roger Rabbit? (1988),Animation,21739
"Nightmare Before Christmas, The (1993)",Animation,20509
"Bug's Life, A (1998)",Animation,20465
"Incredibles, The (2004)",Animation,19890
Snow White and the Seven Dwarfs (1937),Animation,17766
"South Park: Bigger, Longer and Uncut (1999)",Animation,17371
Chicken Run (2000),Animation,16472
Wallace & Gromit: The Wrong Trousers (1993),Animation,15022
Shrek 2 (2004),Animation,14564
"Little Mermaid, The (1989)",Animation,14294
Spirited Away (Sen to Chihiro no kamikakushi) (2001),Animation,13466
Pocahontas (1995),Animation,13046
Pinocchio (1940),Animation,12782
WALL·E (2008),Animation,12176
Fantasia (1940),Animation,12139
Wallace & Gromit: A Close Shave (1995),Animation,12073
Ice Age (2002),Animation,11713
"Hunchback of Notre Dame, The (1996)",Animation,10389
James and the Giant Peach (1996),Animation,10228
Antz (1998),Animation,10163
Lady and the Tramp (1955),Animation,10062
Space Jam (1996),Animation,9917
Princess Mononoke (Mononoke-hime) (1997),Animation,9564
Up (2009),Animation,9264
Cinderella (1950),Animation,8954
Dumbo (1941),Animation,8951
Beavis and Butt-Head Do America (1996),Animation,8752
Ratatouille (2007),Animation,8727
"Jungle Book, The (1967)",Animation,8694
"Iron Giant, The (1999)",Animation,8407
Akira (1988),Animation,8324
Wallace & Gromit: The Best of Aardman Animation (1996),Animation,8171
Mulan (1998),Animation,7941
"Aristocats, The (1970)",Animation,7892
Heavy Metal (1981),Animation,7845
Alice in Wonderland (1951),Animation,7842
101 Dalmatians (One Hundred and One Dalmatians) (1961),Animation,7784
"Grand Day Out with Wallace and Gromit, A (1989)",Animation,7781
Bambi (1942),Animation,7257
Peter Pan (1953),Animation,7075
Ghost in the Shell (Kôkaku kidôtai) (1995),Animation,7072
Final Fantasy: The Spirits Within (2001),Animation,6362
Toy Story (1995),Children,49695
Aladdin (1992),Children,41842
"Lion King, The (1994)",Children,38991
Beauty and the Beast (1991),Children,35138
E.T. the Extra-Terrestrial (1982),Children,32685
Babe (1995),Children,32255
Shrek (2001),Children,31972
Home Alone (1990),Children,28348
Willy Wonka & the Chocolate Factory (1971),Children,28335
"Monsters, Inc. (2001)",Children,23657
Finding Nemo (2003),Children,23569
"Wizard of Oz, The (1939)",Children,23445
